     -2.01768    -0.01586    -0.01586    -0.02472    -0.02472    -0.00000    -0.00000    -0.00000     0.00000     0.00000
     -0.00399    -0.31918    -0.01375    -0.01467    -0.01467    -0.00000    -0.00000    -0.00000     0.00000     0.00000
     -0.00399    -0.01375    -0.31918    -0.01467    -0.01467    -0.00000    -0.00000    -0.00000     0.00000     0.00000
     -0.00738    -0.01502    -0.01502    -0.32694    -0.01466    -0.00000    -0.00000    -0.00000     0.00000     0.00000
     -0.00738    -0.01502    -0.01502    -0.01466    -0.32694    -0.00000    -0.00000    -0.00000     0.00000     0.00000
      0.00000     0.00000     0.00000     0.00000     0.00000    -2.29008    -0.02313    -0.02313    -0.02314    -0.02314
      0.00000     0.00000     0.00000     0.00000     0.00000    -0.00822    -0.35864    -0.01877    -0.01874    -0.01874
      0.00000     0.00000     0.00000     0.00000     0.00000    -0.00822    -0.01877    -0.35864    -0.01874    -0.01874
     -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00821    -0.01874    -0.01874    -0.35860    -0.01876
     -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00821    -0.01874    -0.01874    -0.01876    -0.35860
